custom_id,hit_id,row_id,source,Title,hit_text,context_idx,count_hits,count_unique_entities,context_window
media-frame-d844fe7dbcb4b28a,d844fe7dbcb4b28a,1,Antispiegel,Bereitet der Westen die Entmachtung oder sogar den Sturz Selenskys vor?,Politico,1,1,1,"Er hat es geschafft, seine Leute überall zu platzieren und selbst braucht nichts er außer Sicherheitsgarantien und Geld. Darüber hinaus haben die Amerikaner, wie Politico im März schrieb, in der Opposition bereits eine „politische Brautschau” veranstaltet und offensichtlich können weder Petro Poroschenko noch Julia Timoschenko Onkel Sam zufriedenstellen, von den anderen ganz zu schweigen. Daher ist es vorteilhaft, einen Verräter zu kaufen."
media-frame-f785774b2205e418,f785774b2205e418,4,Antispiegel,Fordert Russland wirklich die Vernichtung aller Ukrainer?,Bild-Zeitung,1,1,1,"Viele haben Reitschuster aus der Corona-Zeit ja als guten Journalisten in Erinnerung. Aber beim Thema Russland betreibt er Desinformation seiner Leser und belügt sie nicht weniger dreist als die Propagandisten von Bild-Zeitung. Dass er seine Leser bewusst belügt, ist nicht zu bestreiten, denn er spricht Russisch und kann sich nicht dahinter verstecken, den Artikel gar nicht im Original gelesen zu haben."
media-frame-8beba1b1263837c4,8beba1b1263837c4,5,Antispiegel,Der Spiegel macht mal wieder Berichterstattung für den Kindergarten,Spiegel,1,1,1,"Der Spiegel macht mal wieder Berichterstattung für den Kindergarten. Wer auch nicht-westliche Medien liest, der ist öfters wahlweise schockiert oder belustigt darüber, wie unterschiedlich deutsche und nicht-westliche Medien berichten."
media-frame-db28e215f2d3989d,db28e215f2d3989d,5,Antispiegel,Der Spiegel macht mal wieder Berichterstattung für den Kindergarten,Spiegel,2,1,1,"Das NABU ist das vielleicht wichtigste Instrument des Westens zur Kontrolle der Ukraine und ihrer Regierung. Für Stammleser des Anti-Spiegel ist das nichts Neues, weil ich darüber seit Jahren berichte und es auch in meinem Buch „Das Ukraine-Kartell“ ausführlich thematisiert habe. Allerdings musste ich in den letzten zehn Tagen feststellen, dass das selbst unter Experten ganz und gar kein Allgemeinwissen ist, denn selbst viele russische Experten wussten das überraschenderweise nicht, wie ich in Gesprächen und anhand von russischen Medienberichten feststellen musste."
media-frame-387a8dd7ac2cedde,387a8dd7ac2cedde,5,Antispiegel,Der Spiegel macht mal wieder Berichterstattung für den Kindergarten,Spiegel,3,4,1,"Ich denke, die Antwort liegt auf der Hand. Märchenstunde im Spiegel Daher ist es niedlich, wie der Spiegel seinen Lesern nun, nachdem Selensky eingeknickt ist und das Gesetz wieder zurückgenommen hat, seinen Lesern Märchen erzählt. Ann-Dorit Boy, eine der führenden anti-russischen und pro-ukrainischen Propagandisten der Spiegel-Redaktion, durfte am 31. Juli und am 1. August gleich zwei Artikel über Selenskys Kapitulation veröffentlichen. Der erste trug die Überschrift „Korruptionsbekämpfung in der Ukraine – Selenskyjs Wende“ und er erzählte den Spiegel-Lesern das Märchen, dass Selensky vor dem Druck der Straße eingeknickt sei. Der zweite Artikel erschien unter dem bemerkenswerten Titel „Korruption in der Ukraine – Der Westen war zu nachsichtig mit Selenskyj“ und auch dort konnte man beispielsweise lesen: „Selenskyj hat viel Vertrauen verloren und wird lange arbeiten müssen, um es zurückzugewinnen."
media-frame-4d6e6d6f02a14d6b,4d6e6d6f02a14d6b,5,Antispiegel,Der Spiegel macht mal wieder Berichterstattung für den Kindergarten,Spiegel,4,1,1,"Doch viele Ukrainer sehen die Korruption als das zweitgrößte Übel in ihrem Land an, das größte ist der Krieg. Sie wissen auch, dass das Funktionieren unabhängiger Instanzen zur Bekämpfung von Korruption Voraussetzung für den EU-Beitritt ihres Landes ist.“ Von dem Druck, den der Westen gemacht hat, erfahren Spiegel-Leser in beiden Artikeln fast nichts. Im ersten Artikel hat Frau Boy die Mär von den Demonstranten erzählt, die Selensky umgestimmt hätten, im zweiten Artikel war es ihr Hauptthema, dass die Ukraine „sich nie wieder in einen korrupten Klientelstaat Russlands verwandeln“ dürfe, sondern den europäischen Weg beibehalten müsse was das NABU sicherstelle."
media-frame-98a7792378389eb2,98a7792378389eb2,5,Antispiegel,Der Spiegel macht mal wieder Berichterstattung für den Kindergarten,Spiegel,5,4,1,"Wird Selenskys Absetzung medial vorbereitet? Allerdings ist der zweite Artikel trotzdem durchaus interessant, denn Frau Boy berichtet nun ausführlich über Korruptionsvorwürfe in Selenskys Umfeld (die für Anti-Spiegel-Leser nun wahrlich nichts Neues sind) und kritisiert Selensky erstaunlich deutlich. Vor allem die recht ausführlich thematisierten Korruptionsvorwürfe gegen Selensky und sein Umfeld dürften für Spiegel-Leser etwas Neues sein. Dass im Spiegel eine so deutliche Kritik an Selensky veröffentlicht wird, ist bemerkenswert und deutet darauf hin, dass die (westliche) Öffentlichkeit tatsächlich auf eine Auswechselung von Selensky vorbereitet werden soll, was meinen gestrigen Artikel zu dem Thema der wohl geplanten Entmachtung Selenskys oder sogar seines geplanten Sturzes bestätigen würde. Aber von all dem wissen Spiegel-Leser nichts, denen wird weiterhin das Märchen von einer ukrainischen „Zivilgesellschaft“ erzählt, die für ihre Rechte und die Demokratie kämpft. Das ist genau der Blödsinn, mit dem westliche Medien bisher jede Farbrevolution und jeden pro-westlichen Putsch eingeleitet und begleitet haben, anstatt ihren Lesern die geopolitischen Interessen der Beteiligten zu erklären und auch mal aufzuzeigen, dass diese “demokratischen Revolutionen”, also vom Westen orchestrierten Putsche, nach dem immer gleichen Muster ablaufen."
media-frame-f9b60b14e07f0c29,f9b60b14e07f0c29,9,Antispiegel,Sogar der Spiegel zieht nun eine negative Bilanz von Merkels „Wir schaffen das“,Spiegel,1,6,1,"Sogar der Spiegel zieht nun eine negative Bilanz von Merkels „Wir schaffen das“. Der Spiegel hat unter der Überschrift „Zehn Jahre nach Merkel-Diktum – Ziemlich geschafft“ eine Bilanz von zehn Jahren „Wir schaffen das“ gezogen. Um es vorwegzunehmen: Ich war von dem sehr langen Artikel sehr überrascht, denn der Spiegel bestätigt darin alles, was die Kritiker von Merkels Grenzöffnung seit 2015 gesagt haben. Aber natürlich kommt dem Spiegel dieses Eingeständnis nicht über die Lippen, stattdessen tut der Spiegel regelrecht überrascht, wie schlecht die Massenmigration für Deutschland war – und verharmlost auch weiterhin wichtige Problemfelder. Der Spiegel-Artikel hat vier Kapitel, nämlich: „I. Wohnen: Die Not der Unterkunft ist groß, II."
media-frame-9f67412fe15aa392,9f67412fe15aa392,9,Antispiegel,Sogar der Spiegel zieht nun eine negative Bilanz von Merkels „Wir schaffen das“,Spiegel,2,18,1,"Bildung: Deutsche Sprache, schwere Sprache, IV. Sicherheit: Zu viele junge Männer, zu viele Delikte“ Faszinierend ist, dass der Spiegel einfach nicht vom Relotius-Stil lassen kann, denn die Kapitel über „Wohnen“ und „Arbeit“ beginnen, wie beim Spiegel üblich, mit ausgesprochen blumig geschriebenen Geschichten über Einzelschicksale, also dem Stilmerkmal der Artikel des Herrn Relotius, die den Leser in die gewollte Stimmung versetzen sollen. Das Einzelschicksal beim Thema „Wohnen“ ist eine christliche Syrerin, die eine Wohnung gefunden hat und nun ein Studium macht. Das Einzelschicksal beim Thema „Arbeit“ ist ein Syrer, der sich mit einer Autowerkstatt selbständig gemacht hat. Diese beiden schönen Beispiele für Erfolgsgeschichten sollen den Spiegel-Leser offenbar davon ablenken, dass Merkels Massenmigration ganz und gar keine Erfolgsgeschichte war, wie man danach dann auch lesen kann. Es ist übrigens auffällig, dass der Spiegel nicht über Einzelschicksale von Negativbeispielen berichtet, beispielsweise einem arbeitslosen Syrer, der kein Deutsch lernen will und schon polizeibekannt ist. Die Gelegenheit, die Geschichte von einem solchen Beispiel zu erzählen, hätte der Spiegel ja im Kapitel „Sicherheit“ gehabt. Aber das Kapitel beginnt der Spiegel lieber ohne einen emotionalen Bericht über ein Einzelschicksal – der Spiegel-Leser soll ja nicht zu einem Kritiker der Massenmigration werden. Das Ergebnis des sehr langen Spiegel-Artikels (die Lesezeit ist mit 26 Minuten angegeben) ist niederschmetternd, auch wenn der Spiegel natürlich versucht, das Desaster irgendwie doch noch positiv darzustellen. Ich will hier auf die vier Kapitel eingehen und die Ergebnisse so, wie der Spiegel beschrieben hat, aufzeigen. I. Wohnen: Die Not der Unterkunft ist groß Nach der emotionalen Einleitung in das Thema „Wohnen“ mit dem Beispiel der christlichen Syrerin beschreibt der Spiegel die Probleme der Kommunen, die immer noch tausende Flüchtlinge in Massenunterkünften halten müssen, und kommt zu dem Schluss: „Was die Unterbringung der Geflüchteten anbelangt, gilt also: Wir haben es eher nicht geschafft.“ Was der Spiegel in dem Kapitel nicht erwähnt, ist, dass die Millionen von Flüchtlingen, die seit 2015 unkontrolliert nach Deutschland geströmt sind, auch den Deutschen beim Thema Wohnen schwer geschadet haben, denn die Explosion der Mietpreise kommt zu einem Großteil daher, dass Flüchtlinge auf dem Wohnungsmarkt zu Konkurrenten für deutsche Wohnungssucher geworden sind. Freunde von mir vermieten in Deutschland eine Wohnung und sie haben sich vor Jahren entschieden, an Flüchtlinge zu vermieten, weil da der Staat als Mieter auftritt, was bedeutet, dass die pünktliche Zahlung der Miete und auch die Bezahlung von Reparaturen bei etwaigen Schäden in der Wohnung garantiert sind. So wird der Staat zum Konkurrenten für wohnungssuchende Deutsche. Aber diese Problematik erwähnt der Spiegel im Kapitel “Wohnen” lieber nicht. II. Arbeit: Wir wollten Fachkräfte, und es kamen Menschen Auch das Kapitel „Arbeit“ beginnt der Spiegel mit einem emotional erzählten Erfolgsbeispiel, um das Fiasko bei der Migration nicht ganz so groß erscheinen zu lassen. Der Spiegel berichtet lieber über den Syrer, der sich mit einer Autowerkstatt selbständig gemacht hat, als über einen Syrer, der seit zehn Jahren arbeitslos ist. Dabei wäre das repräsentativ gewesen, denn in dem Spiegel-Artikel erfahren wir, dass auch nach zehn Jahren „Wir schaffen das“ nur 75 Prozent der 2015 gekommenen Männer Arbeit haben. Das bedeutet, dass sich 25 Prozent seit zehn Jahren durchfüttern lassen. Bei den Frauen ist noch dramatischer, von denen sind nach zehn Jahren in Deutschland zwei Drittel nicht erwerbstätig. Damit aber nicht genug, denn der Spiegel erklärt auch, was man unter „erwerbstätig“ verstehen muss: „Und als erwerbstätig gilt schon, wer mindestens eine Stunde pro Woche arbeitet.“ Dass nur 75 Prozent der Männer und 33 Prozent der Frauen „erwerbstätig“ sind, heißt also nicht viel, denn die meisten von ihnen bekommen zusätzlich staatliche Unterstützung, weil sie von ihrem Lohn nicht leben können. Beim Spiegel klingt das so: „Insgesamt ist das Gehaltsniveau bei Geflüchteten in Deutschland eher gering. Im Schnitt erhalten jene, die erwerbstätig sind und sich schon sieben Jahre in Deutschland aufhalten, nur etwas mehr als den Mindestlohn."
media-frame-ea8a6fc3b77ad6b9,ea8a6fc3b77ad6b9,9,Antispiegel,Sogar der Spiegel zieht nun eine negative Bilanz von Merkels „Wir schaffen das“,Spiegel,3,4,1,"Dass das alles Quatsch war, wussten die Kritiker der Massenmigration schon 2015, aber die wurden ja als Nazis und ausländerfeindlich beschimpft, wenn sie vor den Folgen gewarnt haben, denn es waren eben keine Fachkräfte, die nach Deutschland gestürmt sind, sondern zum Großteil Analphabeten, die keine Schule abgeschlossen haben. Das gibt nun auch der Spiegel zu. Laut den Zahlen des Spiegel haben 47 Prozent der Flüchtlinge in ihrer Heimat keinen Schulabschluss gemacht und 84 Prozent haben keinerlei berufliche Ausbildung mitgebracht. Und auch in Deutschland wollen die meisten daran offensichtlich nichts ändern, denn nach sechs bis acht Jahren in Deutschland haben 69 Prozent der von deutschen Medien wie dem Spiegel seinerzeit als „Fachkräfte“ angepriesenen Migranten immer noch keine berufliche Ausbildung gemacht. Der Spiegel schreibt unter anderem: „Doch lässt sich deshalb sagen: Wir haben es geschafft? Wohl kaum."
