example_id,example_rank_within_category,category_de,category_en,category_description_en,source,hit_id,row_id,title_german,matched_media_mention,evidence_span_german,excerpt_german
EX01,1,POSITIONS-/PARTEILICHKEITS-BIAS,Positional / Partisan Bias,"The outlet is framed as politically aligned, loyal to an ideology, or serving particular interests.",Tichys Einblick,252dea71687ca4d4,11505,Wie man beim MDR ganz offiziell auf die Staatsferne pfeift,MDR,"Aufwandsentschädigung in Höhe von 834,23 Euro","Dasselbe passierte mit einem der entsandten sächsischen Abgeordneten: Dirk Panter (SPD) wurde bei sich zuhause Wirtschaftsminister. Aber beide blieben im MDR-Rundfunkrat. Ob das etwas damit zu tun haben könnte, dass jeder Rundfunkrat jeden Monat eine Aufwandsentschädigung in Höhe von 834,23 Euro erhält sowie zusätzlich ein Sitzungsgeld in Höhe von 69,54 Euro pro Sitzungstag?"
EX02,2,POSITIONS-/PARTEILICHKEITS-BIAS,Positional / Partisan Bias,"The outlet is framed as politically aligned, loyal to an ideology, or serving particular interests.",Antispiegel,b8cd7c48c244bd72,394,Was der Spiegel über die Festnahmen wegen Korruption in Brüssel verschweigt,Spiegel,über die der Spiegel kritisch berichten würde,"… er Suche nach den Textnachrichten war. Aber diesen Skandal hat der Spiegel in seinem Artikel mit keinem Wort erwähnt. Genauso übrigens, wie er es während des laufenden Verfahrens nach Möglichkeit vermieden hat, darüber zu berichten. Von der Leyen ist niemand, über die der Spiegel kritisch berichten würde. Und das bringt mich zu einer Frage: Was steckt wirklich dahinter?"
EX03,1,VERZERRUNG/MANIPULATION,Distortion / Manipulation,"The outlet is accused of selective framing, omission, contextual distortion, or manipulative presentation.",Antispiegel,30e99e7d55572730,264,Wenn der Spiegel über Proteste in Russland berichtet,Qualitätsmedien,teilen ihren deutschen Lesern nicht einmal mit,"… z der USA im Grunde nur abgeschrieben, wobei jedoch die Strafen in der russischen Kopie des US-Gesetzes weniger streng sind, als im amerikanischen Original. An dem FARA-Gesetz der USA hatten und haben die deutschen „Qualitätsmedien“ nichts zu kritisieren. Sie teilen ihren deutschen Lesern nicht einmal mit, dass es in den USA so ein Gesetz gibt, das sehr streng angewendet wird."
EX04,2,VERZERRUNG/MANIPULATION,Distortion / Manipulation,"The outlet is accused of selective framing, omission, contextual distortion, or manipulative presentation.",Tichys Einblick,8c67d1b760dd6684,11701,Mit durchgedrücktem Rücken der Gemeinschaft dienen,Deutschlandfunk,entdeckte bereits 2020 „rassistische Muster“,"… Gewalt Lacht da jemand? Das Werk von Hannah Arendt, Schöpferin der Totalitarismustheorie, die sie eben nicht auf den Nationalsozialismus beschränkte, befindet sich schon seit längerem in der Quarantänestation mit der Aufschrift umstritten; der Deutschlandfunk entdeckte bereits 2020 „rassistische Muster“ in ihren Schriften. Gibt es in dem Remix überhaupt irgendeine frische Zutat?"
EX05,1,DISINFORMATION/FALSCHDARSTELLUNG,Disinformation / Falsehood,"The outlet is accused of lying, spreading fake news, or publishing false claims as facts.",Nius,c17570b459ac5533,3458,Krise bei Volkswagen! Golf-Produktion wird gestoppt +++ Werk Zwickau in Kurzarbeit?,Bild | NDR | Bild-Zeitung,Die Darstellung der Bild-Zeitung sei falsch.,"… ill die Bild-Zeitung erfahren haben, dass für das Werk in Zwickau (aktuell circa 9200 Mitarbeiter) ab kommendem Mittwoch Kurzarbeit geplant sei. Am Mittwochabend wies ein sächsischer VW-Sprecher gegenüber dem NDR die Erwägung von Kurzarbeit in Zwickau zurück. Die Darstellung der Bild-Zeitung sei falsch. Die Berichterstattung der Boulevard-Zeitung wirkt allerdings plausibel."
EX06,2,DISINFORMATION/FALSCHDARSTELLUNG,Disinformation / Falsehood,"The outlet is accused of lying, spreading fake news, or publishing false claims as facts.",Tichys Einblick,1351f495273c2109,12300,Gelingt der Sturz der Mullahs im Iran? – Massive EU-Bauernproteste,Gesternmedien,Verschweigen und Fälschen der Wahrheit,"Die Internet-Abschaltung im Iran wird die Mullahs genauso wenig retten, wie EUvdL den Krieg gegen Elon Musks X und andere freie Plattformen nur verlieren kann. Das Verschweigen und Fälschen der Wahrheit in den Gesternmedien stirbt mit ihnen. Witzig verkleidet kommt die tiefe Wahrheit einher, dass es zwischen Juden und Andersgläubigen im Iran alte und gute Verbindungen gibt."
EX07,1,VERSAGEN/INKOMPETENZ,Failure / Incompetence,"The outlet is criticized as shallow, professionally weak, or failing at basic journalistic work.",Nius,0932299103eaa592,2282,Die Restle-Rampe über „AfD und radikale Christen“: Wie ein „Monitor“-Beitrag den Journalismus blamiert,Correctiv,desaströs gescheiterten Correctiv-Geschichte,"Man ist gespannt, wie das linke Krawallmedium „Monitor“ das belegen will, immerhin ist der Beitrag in der ungekürzten Fassung 16 Minuten und 54 Sekunden lang. In der Machart orientiert er sich an der desaströs gescheiterten Correctiv-Geschichte vom „Geheimplan gegen Deutschland“. Dumpfe Hintergrundmusik, Leute in Zeitlupe, eingeblendete Dokumente, in denen etwas angemarkert wird."
EX08,2,VERSAGEN/INKOMPETENZ,Failure / Incompetence,"The outlet is criticized as shallow, professionally weak, or failing at basic journalistic work.",Tagesschau,d1d2a2e604eac5d2,19419,Verfassungsgericht stärkt Pressefreiheit,Spiegel,nicht auf ausreichende Beweistatsachen gestützt,"Das habe das Oberlandesgericht München nicht ausreichend berücksichtigt. Keine zu hohen Hürden für Verdachtsberichterstattung Das Münchner Gericht hatte außerdem bemängelt, dass der Spiegel seine Berichterstattung über den Wirecard-Manager nicht auf ausreichende Beweistatsachen gestützt hätte. Doch auch hier sei die Pressefreiheit nicht genug berücksichtigt worden, sagt Karlsruhe nun."
EX09,1,NEUTRAL,Neutral,"The media actor is merely named, cited, or referenced without evaluative framing.",Compact,a20d16289354b5cd,1491,Kretschmer-Wende – mal wieder!,RND,,"Nur dann kommt Vertrauen in den Rechtsstaat und die Demokratie zurück. Brandmauern helfen uns nicht weiter.“ (Michael Kretschmer, CDU-Ministerpräsident in Sachsen, Redaktionsnetzwerk Deutschland) „Kretschmer ist ein besonders unangenehmer Polit-Typus unserer Zeit. Unter Kanzlerin Angela Merkel wurde der Sachse sogar stellvertretender Vorsitzender der CDU/CSU-Bundestagsfraktion."
EX10,2,NEUTRAL,Neutral,"The media actor is merely named, cited, or referenced without evaluative framing.",Nius,30140aeace244e27,3902,"„Alarmstufe Rot, der Knock-out rückt immer näher”: Deutschlands mächtigster Chemie-Boss schlägt Alarm",FAZ | Handelsblatt,,"Produktion, Umsatz und Exporte sinken weiter, während hohe Energiekosten, Zölle und Überregulierung den Standort zusätzlich belasten. Der Verband der Chemischen Industrie (VCI) schlägt Alarm, berichten FAZ und Handelsblatt. Nach Angaben des VCI sank die Produktion im dritten Quartal 2025 um 4,3 Prozent, die durchschnittliche Auslastung der Anlagen liegt bei nur rund 70 Prozent."
EX11,1,IRRELEVANT,Irrelevant,The regex hit does not actually function as a media reference in context.,Antispiegel,9223284b415b4224,285,Wie in Russland über den 80. Jahrestag der österreichischen Unabhängigkeit berichtet wird,Stern,,"Heute beherbergt das Gebäude eines der Büros des österreichischen Parlaments, doch im ersten Nachkriegsjahrzehnt, von 1945 bis 1955, beherbergte das Gebäude die sowjetische Kommandantur. Sie war leicht an dem roten Stern an der Fassade und den riesigen Porträts von Lenin und Stalin zu erkennen. In der Nähe waren die amerikanischen, französischen und britischen Besatzungszonen."
EX12,2,IRRELEVANT,Irrelevant,The regex hit does not actually function as a media reference in context.,Nius,6a32ec2367f989e7,2113,Kriegstüchtig? Kein vernünftiger Mensch würde für Klingbeil kämpfen!,Das Erste,,"Nicht einmal Bundeskanzler Friedrich Merz rät jungen Deutschen noch zu Deutschland: Schaut Euch in der Welt um – das bedeutet natürlich nichts anderes, als Deutschland zu verlassen. Das ist das Erste, was dem Bundeskanzler einfällt, wenn man ihn fragt, was er den 20-Jährigen raten würde. Auch Kanzler Merz hält den wirtschaftlichen und sozialen Abschwung Deutschlands nicht auf."
