translation_key,title_en,evidence_en,excerpt_en
72b4aaa7dbf2587c9e45399158ad08ca,How MDR Officially Flouts Its Supposed Distance from the State,Monthly expense allowance of €834.23,The same happened with one of the Saxon deputies sent: Dirk Panter (SPD) was appointed State Minister for Economic Affairs in his home state. But both remained on the MDR Broadcasting Council. Could that have something to do with the fact that each Broadcasting Council member receives a monthly expense allowance of €834.23 and an additional meeting fee of €69.54 per meeting day?
3ec024acf092485e6b5c63ea804dbbab,What Der Spiegel Is Hiding About the Arrests Over Corruption in Brussels,about whom Der Spiegel would report critically,"... it was about the search for the text messages. But Der Spiegel did not mention this scandal with a single word in its article. Likewise, incidentally, it has avoided reporting on it during the ongoing proceedings wherever possible. Von der Leyen is not someone about whom Der Spiegel would report critically. And that brings me to a question: What is really behind it?"
83e0c53374625fe11f5aa85ebec83aa1,The Record of the Attack on Julia Ruhs,Infiltration by the Right and neo-fascists,"... Ruhs. ## The Hostilities Never End The hatred of the public-service bubble remains unabated even after the negative criticism: Hamado Dipama, a member of the Broadcasting Council of Bavarian Broadcasting, writes on Instagram about Ruhs's ousting: ""The infiltration by the Right and neo-fascists into public-service media must be stopped."""
6bd189002190bf2f8794b5298f9950d2,When Der Spiegel Reports on Protests in Russia,do not even inform their German readers,"… were basically just copied from the USA, although the penalties in the Russian copy of the US law are less severe than in the American original. The German ""quality media"" had and have nothing to criticize about the US FARA law. They do not even inform their German readers that such a law exists in the USA and is enforced very strictly."
cf5e15b122f446b1b95b3fc8eed05675,Serving the Community with a Stooped Back,"discovered ""racist patterns"" in 2020","... Violence — is someone laughing? The work of Hannah Arendt, creator of the theory of totalitarianism, which she explicitly did not confine to National Socialism, has long been placed in the quarantine ward labelled ""controversial""; Deutschlandfunk discovered ""racist patterns"" in her writings as early as 2020. Is there any fresh ingredient at all in this remix?"
c84cf91bf229feb5d555b931ee66ac40,"A ""sham conflict"" — or is it more?",has turned it into an apparently major conflict,"But are the positions really that far apart? An analysis by Sabine Henkel, ARD's Berlin bureau. The CDU general secretary, Carsten Linnemann, attempts to end the debate: ""It is a sham conflict."" A sham conflict that the Bild newspaper has turned into an apparently major conflict within the Union. It concerns a possible return of Syrian refugees."
838bd659606b304f828db4bae394602e,Crisis at Volkswagen! Golf production stopped +++ Zwickau plant on short-time work?,The Bild newspaper's account is false.,"… Bild claimed to have learned that short-time work was planned for the Zwickau plant (currently about 9,200 employees) starting next Wednesday. On Wednesday evening a Saxony VW spokesperson told NDR that consideration of short-time work in Zwickau was rejected. The Bild newspaper's account is false. The tabloid's reporting, however, appears plausible."
8ba72bd4f69cbdf431754d49394de3a7,Will the Overthrow of the Mullahs in Iran Succeed? – Massive EU Farmer Protests,Concealing and falsifying the truth,"The internet shutdown in Iran will save the mullahs no more than EUvdL can win the war against Elon Musk’s X and other free platforms — she can only lose it. The concealing and falsifying of the truth in the ‘yesterday-media’ dies with them. Cloaked in a comic disguise comes the deep truth that there are long-standing, good connections between Jews and people of other faiths in Iran."
5a7573fb31bcb3d48d6d6bc50b94092b,Which fairy tales Der Spiegel uses to stoke war hysteria in Germany,to portray and spread these lies as facts,"...even where the federal government's paper lists them, there's nothing to it. They are partly entirely invented stories, long-refuted accusations, or claims for which there is not a single piece of evidence. None of it is solid. That does not stop Der Spiegel from portraying and spreading these lies as facts. What is that if not war propaganda by definition?"
2fc13535d1260602abfe94a20e67470a,The Restle Ramp about 'AfD and Radical Christians': How a 'Monitor' Segment Embarrasses Journalism,the disastrously failed Correctiv story,"One is eager to see how the leftist agitator outlet “Monitor” intends to prove that — after all, the uncut piece runs 16 minutes and 54 seconds. In its style it follows the disastrously failed Correctiv story about the “secret plan against Germany.” Thudding background music, people in slow motion, on-screen documents with passages highlighted."
fd9f8e1a255edb7159b939cf5fb3b805,Constitutional Court strengthens press freedom,not based on sufficient evidentiary facts,"The Higher Regional Court of Munich had not taken that sufficiently into account. No overly high hurdles for reporting on suspicions. The Munich court had also criticized that Der Spiegel had not based its reporting on the Wirecard manager on sufficient evidentiary facts. But here too, press freedom had not been sufficiently taken into account, Karlsruhe now says."
234f481f459a91f13bce87ea0479babc,The End of Climate Panic,The public broadcasters will never be the same again,… Roland Tichy's commentary on the end of the climate religion everywhere in the world – except in Germany. More videos at Tichys Einblick >>> Interview with Marco Gallina Bill Gates leaves the climate church Interview with Carlos Gebauer After the Leipzig ruling: “The public broadcasters will never be the same again” The State of the Nation Norbert Bolz or the end of freedom of opinion
78568fd327fcb7fa81813562184f5fe3,Kretschmer U-turn — yet again!,,"""Only then will trust in the rule of law and in democracy return. Firewalls won't help us."" (Michael Kretschmer, CDU Minister-President of Saxony, Redaktionsnetzwerk Deutschland) ""Kretschmer is a particularly unpleasant type of politician of our time. Under Chancellor Angela Merkel the Saxon even became deputy chairman of the CDU/CSU parliamentary group."""
c97895f5918feaa99a26e4f8906e493a,"""Red alert, the knockout is getting ever closer"": Germany's most powerful chemical boss sounds the alarm",,"Production, sales and exports continue to fall, while high energy costs, tariffs and overregulation further burden the industrial location. The Association of the Chemical Industry (VCI) is sounding the alarm, report FAZ and Handelsblatt. According to the VCI, production fell by 4.3 percent in the third quarter of 2025, and the average capacity utilization of plants is only around 70 percent."
e6833515c240c3079d9c573e27ae521a,"Media: At least 5,000 dead in protests in Iran",,"Media: At least 5,000 dead in protests in Iran. At least 5,000 people, including 500 security forces, have died in the protests in Iran, Reuters reports, citing an unnamed Iranian official. The news agency's interlocutor noted that the death toll is unlikely to rise significantly."
